Job Titles,Department,Full or Part-Time,Gender,Annual Salary Bin,
SERGEANT,POLICE,F,male,≥ 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,≥ 90K,
POLICE OFFICER,POLICE,F,female,< 90K,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,male,< 90K,
ELECTRICAL MECHANIC,AVIATION,F,male,≥ 90K,
FIRE ENGINEER-EMT,FIRE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,< 90K,
POLICE OFFICER,POLICE,F,female,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
SERGEANT,POLICE,F,male,≥ 90K,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,≥ 90K,
FIREFIGHTER-EMT,FIRE,F,male,≥ 90K,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,male,< 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
PARAMEDIC I/C,FIRE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,female,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,female,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,< 90K,
POOL MOTOR TRUCK DRIVER,AVIATION,P,male,< 90K,
OPERATING ENGINEER-GROUP C,WATER MGMNT,F,female,≥ 90K,
FIREFIGHTER-EMT,FIRE,F,male,≥ 90K,
FIREFIGHTER-EMT,FIRE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
ELECTRICAL MECHANIC,AVIATION,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,female,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,female,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
DETENTION AIDE,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
LIEUTENANT-EMT,FIRE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,male,< 90K,
FIREFIGHTER,FIRE,F,male,≥ 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,female,≥ 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
PARAMEDIC,FIRE,F,female,< 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
POLICE OFFICER,POLICE,F,male,< 90K,
POLICE OFFICER,POLICE,F,male,≥ 90K,
PARAMEDIC I/C,FIRE,F,male,≥ 90K,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,< 90K,
PARAMEDIC,FIRE,F,female,< 90K,
