Job Title,Department,Status,Salary or Hourly,Gender,Annual Salary Bin,
SERGEANT,POLICE,F,Salary,male,> 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,male,<= 90K,
ELECTRICAL MECHANIC,AVIATION,F,Hourly,male,> 90K,
FIRE ENGINEER-EMT,FIRE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
SERGEANT,POLICE,F,Salary,male,> 90K,
FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,male,> 90K,
FIREFIGHTER-EMT,FIRE,F,Salary,male,> 90K,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
PARAMEDIC I/C,FIRE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,male,<= 90K,
POOL MOTOR TRUCK DRIVER,AVIATION,P,Hourly,male,<= 90K,
OPERATING ENGINEER-GROUP C,WATER MGMNT,F,Hourly,female,<= 90K,
FIREFIGHTER-EMT,FIRE,F,Salary,male,> 90K,
FIREFIGHTER-EMT,FIRE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
ELECTRICAL MECHANIC,AVIATION,F,Hourly,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,female,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,> 90K,
DETENTION AIDE,POLICE,F,Salary,male,<= 90K,
POLICE OFFICER,POLICE,F,Salary,male,<= 90K,
