Job Title,Department,Status,Salary or Hourly,Gender,Annual Salary Bin,
SERGEANT,POLICE,F,Salary,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,female,80-99,
POLICE OFFICER,POLICE,F,Salary,female,60-79,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,male,0-39,
ELECTRICAL MECHANIC,AVIATION,F,Hourly,male,100-119,
FIRE ENGINEER-EMT,FIRE,F,Salary,male,100-119,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,female,0-39,
POLICE OFFICER,POLICE,F,Salary,female,60-79,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,60-79,
SERGEANT,POLICE,F,Salary,male,100-119,
FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,male,100-119,
FIREFIGHTER-EMT,FIRE,F,Salary,male,100-119,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,male,0-39,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
PARAMEDIC I/C,FIRE,F,Salary,male,100-119,
POLICE OFFICER,POLICE,F,Salary,female,60-79,
POLICE OFFICER,POLICE,F,Salary,male,60-79,
FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,40-59,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,female,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,male,60-79,
POOL MOTOR TRUCK DRIVER,AVIATION,P,Hourly,male,0-39,
OPERATING ENGINEER-GROUP C,WATER MGMNT,F,Hourly,female,100-119,
FIREFIGHTER-EMT,FIRE,F,Salary,male,100-119,
FIREFIGHTER-EMT,FIRE,F,Salary,male,100-119,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
ELECTRICAL MECHANIC,AVIATION,F,Hourly,male,100-119,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,female,40-59,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,male,100-119,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,female,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
DETENTION AIDE,POLICE,F,Salary,male,40-59,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
LIEUTENANT-EMT,FIRE,F,Salary,male,120-139,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,Salary,male,60-79,
FIREFIGHTER,FIRE,F,Salary,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,male,100-119,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
POLICE OFFICER,POLICE,F,Salary,female,80-99,
POLICE OFFICER,POLICE,F,Salary,male,80-99,
