Job Title,Status,Gender,Annual Salary Bin,
Electrical Transit System Mech,F,male,100-119,
Stationary Eng Sewage Plant,F,male,100-119,
Automotive Mechanic,F,male,100-119,
Firefighter,F,male,100-119,
Patient Care Assistant,F,male,100-119,
Police Officer,F,male,100-119,
Special Nurse,P,male,140+,
Transit Operator,F,male,100-119,
Stationary Engineer,F,male,100-119,
Transit Operator,F,male,100-119,
Stationary Eng Sewage Plant,F,male,100-119,
Assistant Engineer,F,male,100-119,
Senior Administrative Analyst,F,male,100-119,
Behavioral Health Clinician,F,male,100-119,
Public SafetyComm Disp,F,female,100-119,
Transit Operator,F,female,100-119,
Transit Operator,F,male,100-119,
Truck Driver,F,male,100-119,
Assistant Engineer,F,male,100-119,
Behavioral Health Clinician,F,female,100-119,
Public SafetyComm Disp,F,female,100-119,
Electrical Transit System Mech,F,male,120-139,
Assoc Engineer,F,male,100-119,
EMT/Paramedic/Firefighter,F,male,100-119,
Automotive Service Worker,F,male,100-119,
Licensed Vocational Nurse,F,male,100-119,
Transit Operator,F,male,100-119,
Police Officer,F,male,100-119,
Protective Services Worker,F,female,100-119,
Assistant Engineer,F,male,100-119,
Behavioral Health Clinician,F,female,100-119,
Electronic Maintenance Tech,F,male,120-139,
Transit Operator,F,male,100-119,
Transit Operator,F,male,100-119,
Behavioral Health Clinician,F,male,100-119,
Firefighter,F,male,100-119,
IS Business Analyst-Senior,F,male,100-119,
Painter,F,male,100-119,
Transit Operator,F,male,100-119,
Firefighter,F,male,100-119,
Truck Driver,F,male,100-119,
Behavioral Health Clinician,F,female,100-119,
Police Officer,F,male,100-119,
Patient Care Assistant,F,female,100-119,
Deputy Sheriff (SFERS),F,male,100-119,
Behavioral Health Clinician,F,female,100-119,
Police Officer,F,female,100-119,
Stationary Eng Sewage Plant,F,male,100-119,
Senior Administrative Analyst,F,female,100-119,
Firefighter,F,female,100-119,
Parking Control Officer,F,male,100-119,
Truck Driver,F,male,100-119,
Transit Operator,F,female,100-119,
Police Officer,F,male,100-119,
Firefighter,F,male,100-119,
Parking Control Officer,F,male,100-119,
Transit Operator,F,male,100-119,
IS Business Analyst-Senior,F,female,100-119,
Assistant Engineer,F,male,100-119,
Painter,F,male,100-119,
Registered Nurse,P,female,100-119,
Transit Operator,F,male,100-119,
Police Officer,F,male,100-119,
Stationary Engineer,F,male,100-119,
Manager I,F,female,100-119,
Police Officer,F,male,100-119,
Senior Human Resources Analyst,F,female,100-119,
Transit Operator,F,male,100-119,
Stationary Engineer,F,male,100-119,
Special Nurse,P,female,120-139,
Registered Nurse,P,female,100-119,
Stationary Eng Sewage Plant,F,male,100-119,
Senior Administrative Analyst,F,male,100-119,
Transit Operator,F,male,100-119,
Parking Control Officer,F,male,100-119,
Police Officer,F,male,100-119,
Transit Operator,F,male,100-119,
Licensed Vocational Nurse,F,female,100-119,
Firefighter,P,female,100-119,
Electrician,F,male,100-119,
Senior Administrative Analyst,F,female,100-119,
Transit Operator,F,male,100-119,
Behavioral Health Clinician,F,female,100-119,
Truck Driver,F,male,100-119,
Manager I,F,female,120-139,
Transit Operator,F,male,120-139,
Registered Nurse,P,female,100-119,
Behavioral Health Clinician,F,female,100-119,
Transit Operator,F,female,100-119,
Behavioral Health Clinician,F,female,100-119,
Registered Nurse,P,female,100-119,
Museum Guard,F,male,100-119,
Nursing Assistant,F,male,100-119,
Senior Administrative Analyst,F,female,100-119,
Registered Nurse,P,female,100-119,
Firefighter,F,male,100-119,
Stationary Eng Sewage Plant,F,male,100-119,
General Laborer,F,male,100-119,
Senior Administrative Analyst,F,male,100-119,
