Job Title,Status,Gender,Total Pay Bin,
Electrical Transit System Mech,FT,male,100-119,
Stationary Eng Sewage Plant,FT,male,100-119,
Automotive Mechanic,FT,male,100-119,
Firefighter,FT,male,100-119,
Patient Care Assistant,FT,male,100-119,
Police Officer,FT,male,100-119,
Special Nurse,PT,male,140+,
Transit Operator,FT,male,100-119,
Stationary Engineer,FT,male,100-119,
Transit Operator,FT,male,100-119,
Stationary Eng Sewage Plant,FT,male,100-119,
Assistant Engineer,FT,male,100-119,
Senior Administrative Analyst,FT,male,100-119,
Behavioral Health Clinician,FT,male,100-119,
Public SafetyComm Disp,FT,female,100-119,
Transit Operator,FT,female,100-119,
Transit Operator,FT,male,100-119,
Truck Driver,FT,male,100-119,
Assistant Engineer,FT,male,100-119,
Behavioral Health Clinician,FT,female,100-119,
Public SafetyComm Disp,FT,female,100-119,
Electrical Transit System Mech,FT,male,120-139,
Assoc Engineer,FT,male,100-119,
EMT/Paramedic/Firefighter,FT,male,100-119,
Automotive Service Worker,FT,male,100-119,
Licensed Vocational Nurse,FT,male,100-119,
Transit Operator,FT,male,100-119,
Police Officer,FT,male,100-119,
Protective Services Worker,FT,female,100-119,
Assistant Engineer,FT,male,100-119,
Behavioral Health Clinician,FT,female,100-119,
Electronic Maintenance Tech,FT,male,120-139,
Transit Operator,FT,male,100-119,
Transit Operator,FT,male,100-119,
Behavioral Health Clinician,FT,male,100-119,
Firefighter,FT,male,100-119,
IS Business Analyst-Senior,FT,male,100-119,
Painter,FT,male,100-119,
Transit Operator,FT,male,100-119,
Firefighter,FT,male,100-119,
Truck Driver,FT,male,100-119,
Behavioral Health Clinician,FT,female,100-119,
Police Officer,FT,male,100-119,
Patient Care Assistant,FT,female,100-119,
Deputy Sheriff (SFERS),FT,male,100-119,
Behavioral Health Clinician,FT,female,100-119,
Police Officer,FT,female,100-119,
Stationary Eng Sewage Plant,FT,male,100-119,
Senior Administrative Analyst,FT,female,100-119,
Firefighter,FT,female,100-119,
Parking Control Officer,FT,male,100-119,
Truck Driver,FT,male,100-119,
Transit Operator,FT,female,100-119,
Police Officer,FT,male,100-119,
Firefighter,FT,male,100-119,
Parking Control Officer,FT,male,100-119,
Transit Operator,FT,male,100-119,
IS Business Analyst-Senior,FT,female,100-119,
Assistant Engineer,FT,male,100-119,
Painter,FT,male,100-119,
Registered Nurse,PT,female,100-119,
Transit Operator,FT,male,100-119,
Police Officer,FT,male,100-119,
Stationary Engineer,FT,male,100-119,
Manager I,FT,female,100-119,
Police Officer,FT,male,100-119,
Senior Human Resources Analyst,FT,female,100-119,
Transit Operator,FT,male,100-119,
Stationary Engineer,FT,male,100-119,
Special Nurse,PT,female,120-139,
Registered Nurse,PT,female,100-119,
Stationary Eng Sewage Plant,FT,male,100-119,
Senior Administrative Analyst,FT,male,100-119,
Transit Operator,FT,male,100-119,
Parking Control Officer,FT,male,100-119,
Police Officer,FT,male,100-119,
Transit Operator,FT,male,100-119,
Licensed Vocational Nurse,FT,female,100-119,
Firefighter,PT,female,100-119,
Electrician,FT,male,100-119,
Senior Administrative Analyst,FT,female,100-119,
Transit Operator,FT,male,100-119,
Behavioral Health Clinician,FT,female,100-119,
Truck Driver,FT,male,100-119,
Manager I,FT,female,120-139,
Transit Operator,FT,male,120-139,
Registered Nurse,PT,female,100-119,
Behavioral Health Clinician,FT,female,100-119,
