Job Title,Status,Gender,Total Pay Bin,
Electrical Transit System Mech,FT,male,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Automotive Mechanic,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Patient Care Assistant,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Special Nurse,PT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Senior Administrative Analyst,FT,male,≥ 90K,
Behavioral Health Clinician,FT,male,≥ 90K,
Public SafetyComm Disp,FT,female,≥ 90K,
Transit Operator,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Public SafetyComm Disp,FT,female,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Assoc Engineer,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Automotive Service Worker,FT,male,≥ 90K,
Licensed Vocational Nurse,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Protective Services Worker,FT,female,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Behavioral Health Clinician,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
IS Business Analyst-Senior,FT,male,≥ 90K,
Painter,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
Patient Care Assistant,FT,female,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Police Officer,FT,female,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Parking Control Officer,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Transit Operator,FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Parking Control Officer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
IS Business Analyst-Senior,FT,female,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Painter,FT,male,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Manager I,FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
Senior Human Resources Analyst,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Special Nurse,PT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Senior Administrative Analyst,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Parking Control Officer,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Licensed Vocational Nurse,FT,female,≥ 90K,
Firefighter,PT,female,≥ 90K,
Electrician,FT,male,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Manager I,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Transit Operator,FT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Museum Guard,FT,male,≥ 90K,
Nursing Assistant,FT,male,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
General Laborer,FT,male,≥ 90K,
Senior Administrative Analyst,FT,male,≥ 90K,
Senior Administrative Analyst,FT,male,≥ 90K,
Automotive Mechanic,PT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Nursing Assistant,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Assistant Engineer,FT,female,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer,FT,female,≥ 90K,
Protective Services Worker,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Transit Car Cleaner,FT,male,≥ 90K,
Transit Operator,FT,female,≥ 90K,
Automotive Mechanic,FT,male,≥ 90K,
Assistant Engineer,FT,female,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Painter,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Stationary Eng Sewage Plant,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Senior Human Resources Analyst,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Attorney (Civil/Criminal),PT,male,≥ 90K,
Attorney (Civil/Criminal),PT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Painter,FT,male,≥ 90K,
Transit Car Cleaner,FT,male,≥ 90K,
Manager III,PT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Parking Control Officer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Pr Administrative Analyst,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Behavioral Health Clinician,FT,male,≥ 90K,
Manager I,FT,female,≥ 90K,
Painter,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Transit Operator,PT,male,≥ 90K,
Painter,FT,male,≥ 90K,
Attorney (Civil/Criminal),PT,female,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Special Nurse,PT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Behavioral Health Clinician,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Assoc Engineer,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Firefighter,PT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Police Officer,FT,female,≥ 90K,
Senior Human Resources Analyst,FT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Patient Care Assistant,FT,female,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Senior Administrative Analyst,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Special Nurse,PT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Automotive Service Worker,FT,male,≥ 90K,
Special Nurse,PT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Behavioral Health Clinician,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Automotive Mechanic,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Gardener,FT,male,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Truck Driver,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Nursing Assistant,FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Licensed Vocational Nurse,FT,female,≥ 90K,
Senior Administrative Analyst,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Public SafetyComm Disp,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,female,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
IS Business Analyst-Principal,FT,male,≥ 90K,
Automotive Mechanic,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
